crop,disease,pathogen_or_cause,symptoms,favorable_conditions,prevention,management,organic_management,chemical_management,severity,source,source_url
Apple,Apple scab,Venturia inaequalis (fungus),Olive-green to dark lesions on leaves and fruit; lesions may become corky and fruit may crack.,"Cool, wet periods and prolonged leaf wetness.",Use resistant cultivars; remove or accelerate decomposition of fallen leaves; maintain an open canopy.,Sanitation and canopy management; monitor infection periods.,"Leaf sanitation, resistant cultivars, pruning and canopy drying.",Use only locally registered fungicides and follow the current crop label.,High,University of Minnesota Extension,https://extension.umn.edu/garden-and-home/yard-and-garden/gardening-in-minnesota/yard-and-garden-problems/apple-scab
Apple,Black rot,Botryosphaeria obtusa (fungus),"Brown or purple leaf spots, limb cankers and black, rotting fruit.","Warm, humid conditions; dead wood and mummified fruit can provide inoculum.",Remove mummified fruit and dead/cankered wood; prune for airflow.,"Sanitation, pruning and removal of infected plant material.",Remove infected material and maintain orchard hygiene.,Use locally registered products according to the apple disease label and extension guidance.,High,University of Minnesota Extension,https://extension.umn.edu/fruit/growing-apples
Apple,Cedar apple rust,Gymnosporangium spp. (rust fungi),Yellow-orange leaf spots; fruit infections may form abnormal growths.,Moist spring weather; requires compatible cedar/juniper and apple-family hosts.,Choose resistant cultivars and reduce nearby alternate hosts where practical.,Prune infected tissue and use resistant varieties; fungicide timing is preventive when needed.,"Resistant varieties, pruning and sanitation.",Chemical control must follow local registration and label directions.,Medium,University of Minnesota Extension,https://extension.umn.edu/garden-and-home/yard-and-garden/gardening-in-minnesota/yard-and-garden-problems/cedar-apple-rust
Cherry,Powdery mildew,Podosphaera spp. (fungi),White powdery growth on leaves and shoots; distorted or weakened young tissue.,Warm conditions with humid air but relatively dry leaf surfaces.,"Improve airflow, avoid excessive nitrogen, remove heavily affected tissue where feasible.",Canopy management and timely disease monitoring.,Sanitation and airflow management.,Use locally registered fungicides according to the crop label.,Medium,University extension guidance,https://extension.umn.edu/plant-diseases/powdery-mildew
Corn (maize),Cercospora leaf spot / Gray leaf spot,Cercospora zeae-maydis and related Cercospora spp.,Rectangular gray-to-tan lesions that develop between leaf veins.,"Warm, humid weather and extended leaf wetness.","Use resistant hybrids, crop rotation and residue management.",Scout lower leaves and manage susceptible fields using integrated disease management.,"Rotation, residue management and resistant hybrids.",Use only locally registered products and follow label/extension timing.,High,Crop Protection Network,https://cropprotectionnetwork.org/encyclopedia/gray-leaf-spot-of-corn
Corn (maize),Common rust,Puccinia sorghi (fungus),Small reddish-brown pustules on leaves that release rust-colored spores.,Moderate temperatures and humid conditions.,Use resistant hybrids where available and monitor fields.,Scout and manage severe susceptible crops according to local recommendations.,Resistant hybrids and field monitoring.,Use locally registered fungicides only when justified by local recommendations.,Medium,Crop Protection Network,https://cropprotectionnetwork.org/encyclopedia/common-rust-of-corn
Corn (maize),Northern leaf blight,Exserohilum turcicum (fungus),"Long, gray-green to tan cigar-shaped lesions on leaves.",Moderate temperatures with frequent moisture and humid conditions.,"Use resistant hybrids, rotate crops and manage residue where appropriate.",Early scouting and integrated management are important in susceptible fields.,"Rotation, resistant hybrids and residue management.",Use locally registered fungicides when recommended.,High,Crop Protection Network,https://cropprotectionnetwork.org/publications/an-overview-of-northern-corn-leaf-blight
Grape,Black rot,Guignardia bidwellii (fungus),"Circular brown leaf lesions and dark, shriveled fruit that become mummified.","Warm, humid weather with repeated rainfall.",Remove mummified fruit and infected tissue; maintain canopy airflow.,"Sanitation, pruning and timely disease monitoring.",Removal of mummies and infected tissue.,Use locally registered grape fungicides according to label and extension guidance.,High,University extension guidance,https://extension.umn.edu/fruit/growing-grapes
Grape,Esca (Black Measles),Complex of wood-associated fungi,"Leaf striping or spotting, berry spotting and internal wood discoloration; symptoms can vary.",Stress and infection through pruning wounds are associated with disease development.,Use clean planting material and minimize large pruning wounds; remove severely affected vines.,"Sanitation, pruning-wound management and removal of severely affected vines.",Clean propagation material and careful pruning hygiene.,Follow locally registered recommendations; chemical control is limited for established wood disease.,High,Extension/research guidance,https://www.canr.msu.edu/news/esca_and_black_measles_of_grape
Grape,Leaf blight (Isariopsis leaf spot),Pseudocercospora vitis / Isariopsis spp.,Leaf spots that may enlarge and cause premature leaf yellowing or defoliation.,"Warm, humid conditions and prolonged leaf wetness.",Improve canopy airflow and remove infected plant debris.,Integrated sanitation and canopy management.,Sanitation and airflow management.,Use locally registered products only when recommended for grape leaf diseases.,Medium,Agricultural extension guidance,https://plantpathology.ces.ncsu.edu/
Orange,Huanglongbing (Citrus greening),Candidatus Liberibacter spp.; transmitted by citrus psyllids,"Blotchy leaf mottling, yellow shoots, small or misshapen fruit and decline.",Presence of infected trees and psyllid vectors; disease spreads through infected propagation material.,"Use certified disease-free planting material, monitor/control vectors and remove infected trees where mandated.",Integrated vector and infected-tree management.,Healthy planting material and vector exclusion/management.,Follow official local citrus-health and pesticide regulations.,Very high,USDA/APS citrus greening resources,https://www.apsnet.org/edcenter/sites/Citruskiller/Pages/Background.aspx
Peach,Bacterial spot,Xanthomonas spp.,Small water-soaked or dark lesions on leaves and fruit; fruit spots can crack or become sunken.,"Warm, wet weather and frequent rain.",Use tolerant/resistant cultivars where available and maintain good orchard hygiene.,"Canopy management, sanitation and disease monitoring.",Pruning for airflow and removal of severely affected tissue.,Use only products registered for peach bacterial diseases in the country of use.,High,University extension guidance,https://extension.psu.edu/peach-disease-bacterial-spot
Pepper,Bacterial spot,Xanthomonas spp.,"Water-soaked or dark leaf spots, defoliation and raised or scabby fruit lesions.","Warm, wet conditions and splash dispersal.","Use clean seed/transplants, resistant varieties where available, avoid overhead irrigation and rotate crops.",Sanitation and integrated disease management.,"Clean seed, crop rotation and drip irrigation.",Use locally registered bactericides according to label.,High,University of Minnesota Extension,https://extension.umn.edu/agriculture/specialty-crops/vegetable-farming/disease-management/bacterial-spot-of-tomato-and-pepper
