practice,category,description,benefits,implementation,suitable_conditions,cautions,related_crops,source
No-till farming,Soil disturbance,Plant crops with minimum mechanical disturbance of the soil.,"Protects soil structure, reduces erosion and helps maintain soil biological activity.",Use direct seeding or planting through existing crop residues or mulch.,Can be adapted to different farming systems when suitable equipment and weed-management practices are available.,Requires appropriate residue and weed management.,"Maize, wheat, barley, soybean, rice, pulses",FAO Conservation Agriculture
Cover cropping,Soil cover,Grow crops during periods when the main commercial crop is not occupying the field.,"Protects soil, recycles nutrients, improves soil structure, suppresses weeds and increases organic matter.",Plant an appropriate cover crop between main cropping periods and terminate it before competition with the following crop.,Useful during fallow periods where sufficient residual soil moisture exists.,"Select species according to climate, soil moisture and the following crop.","Cereals, legumes, oilseeds, forage crops",FAO Conservation Agriculture
Crop rotation,Crop diversification,Grow different crop species in planned sequences rather than repeatedly growing the same crop.,"Improves nutrient cycling, soil biodiversity and can reduce pest, disease and weed pressure.",Plan multi-season crop sequences using crops with different rooting patterns and nutrient requirements.,"Adapt rotation to local climate, soil and market conditions.",Choose crops that are agronomically and economically suitable for the farm.,"Cereals, legumes, oilseeds, vegetables",FAO Conservation Agriculture
Crop diversification,Biodiversity,Increase the diversity of crops grown in sequences or associations.,Supports biodiversity and improves water and nutrient-use efficiency.,Use multiple crop species and suitable rotations or associations.,Adapt species combinations to local farming conditions.,Management becomes more complex when many crops are combined.,All suitable locally adapted crops,FAO Conservation Agriculture
Crop residue retention,Soil cover,Leave suitable crop residues on the soil surface after harvest.,"Reduces erosion, protects soil from rainfall and heat, improves infiltration and contributes organic matter.","Retain residues rather than removing or burning them, while maintaining sufficient biomass for soil protection.",Particularly useful where erosion or soil organic matter loss is a concern.,Balance soil-cover requirements with livestock-feed and other residue uses.,"Maize, wheat, rice, sorghum, barley",FAO Conservation Agriculture
Mulching,Soil cover,Maintain a protective layer of plant material on the soil surface.,"Reduces evaporation, protects soil and improves water infiltration.",Use suitable crop residues or other locally available organic materials.,Useful where soil moisture conservation and erosion control are important.,Ensure the material does not introduce pests or diseases.,All suitable field and horticultural crops,FAO Conservation Agriculture
Organic matter addition,Soil fertility,Add suitable organic materials to improve soil organic matter.,"Can improve soil structure, nutrient retention and biological activity.","Use well-managed compost, manure or other suitable organic amendments.",Useful where soil organic matter is low and suitable organic materials are available.,Application rates and material quality should be appropriate for the soil and crop.,All crops,FAO Sustainable Soil Management
Integrated nutrient management,Nutrient management,Manage organic and mineral nutrient sources together according to crop and soil requirements.,Improves nutrient availability while reducing unnecessary nutrient losses.,"Use soil information, crop requirements and appropriate organic and mineral nutrient sources.",All farming systems with appropriate soil and crop information.,Avoid excessive fertilizer or amendment application.,All crops,FAO Sustainable Soil Management
Integrated pest management,Pest management,"Combine appropriate biological, cultural, physical and chemical pest-management methods.",Can reduce unnecessary pesticide use and support ecological balance.,Monitor pests and use control measures according to pest pressure and crop conditions.,All crop production systems.,Chemical products should be used only appropriately and according to local requirements.,All crops,FAO Sustainable Agriculture
Agroforestry,Trees and crops,Integrate trees with crops and/or livestock within agricultural systems.,"Can support soil health, biodiversity, water management and farm resilience.","Select tree and crop combinations suited to local climate, soil and farm objectives.",Suitable where tree-crop or tree-livestock integration is agronomically appropriate.,"Consider competition for light, water and nutrients.",Crops suitable for local agroforestry systems,FAO Agroforestry
Rainwater harvesting,Water management,Capture and use rainfall to improve water availability for agriculture.,Can improve water availability and reduce runoff and erosion.,Use suitable farm-scale water harvesting structures according to local conditions.,Useful where rainfall is seasonal or water availability is limited.,"Structures must be designed for local rainfall, soil and terrain.",All suitable crops,FAO Climate-Smart Agriculture
Erosion control,Soil conservation,Use practices and structures that reduce soil loss by water and wind.,Protects topsoil and reduces nutrient and organic-matter losses.,"Combine vegetation cover with appropriate terraces, bunds, contour measures or other suitable structures.",Especially useful on erosion-prone land.,Structures should be designed for local terrain and rainfall.,All crops,FAO Sustainable Soil Management
Controlled grazing,Livestock management,Manage livestock grazing intensity and timing to protect vegetation and soil.,Can reduce vegetation degradation and support grassland recovery.,Control grazing pressure and allow vegetation adequate recovery periods.,Pasture and integrated crop-livestock systems.,Stocking levels and grazing periods must match local pasture productivity.,Integrated crop-livestock systems,FAO Climate-Smart Agriculture
Avoid crop-residue burning,Residue management,"Retain, reuse or appropriately manage crop residues instead of burning them.",Helps retain organic matter and nutrients and reduces loss of soil-protective material.,"Use residues as mulch, soil cover, compost material or other appropriate farm uses.",Applicable where sufficient residue is available.,"Residue use should consider livestock feed, pests and disease risks.","Rice, wheat, maize, sorghum, barley",FAO Climate-Smart Agriculture
