chunk_id,topic,title,content,source,source_url,document_type,chunk_id_char_count,content_char_count
Conservation Agricul_1,Conservation Agriculture,Conservation Agriculture,"What is Conservation Agriculture? | Conservation Agriculture | Food and Agriculture Organization of the United Nations Conservation Agriculture This section describes what soil-protective and resource-saving agriculture is and how it, as a management system, can prevent the loss of land suitable for cultivation and contribute to the restoration of degraded soils. It also provides information on the principles of such a system of agriculture, explains why FAO is actively engaged in its popularization, as well as the support provided by FAO to the Member States of the Organization. What is Conservation Agriculture? Conservation Agriculture (CA) is a farming system that can prevent losses of arable land while regenerating degraded lands. It promotes maintenance of a permanent soil cover, minimum soil disturbance, and diversification of plant species",FAO,https://www.fao.org/conservation-agriculture/overview/what-is-conservation-agriculture/en/,webpage,22,858
Conservation Agricul_2,Conservation Agriculture,Conservation Agriculture,". It promotes maintenance of a permanent soil cover, minimum soil disturbance, and diversification of plant species. It enhances biodiversity and natural biological processes above and below the ground surface, which contribute to increased water and nutrient use efficiency and to improved and sustained crop production. CA principles are universally applicable to all agricultural landscapes and land uses with locally adapted practices. Soil interventions such as mechanical soil disturbance are reduced to an absolute minimum or avoided, and external inputs such as agrochemicals and plant nutrients of mineral or organic origin are applied optimally and in ways and quantities that do not interfere with, or disrupt, the biological processes. CA facilitates good agronomy, such as timely operations, and improves overall land husbandry for rainfed and irrigated production",FAO,https://www.fao.org/conservation-agriculture/overview/what-is-conservation-agriculture/en/,webpage,22,877
Conservation Agricul_3,Conservation Agriculture,Conservation Agriculture,". CA facilitates good agronomy, such as timely operations, and improves overall land husbandry for rainfed and irrigated production. Complemented by other known good practices, including the use of quality seeds, and integrated pest, nutrient, weed and water management, etc., CA is a base for sustainable agricultural production intensification. It opens increased options for integration of production sectors, such as crop-livestock integration and the integration of trees and pastures into agricultural landscapes. Related links Save and Grow Factsheet",FAO,https://www.fao.org/conservation-agriculture/overview/what-is-conservation-agriculture/en/,webpage,22,557
Soil Organic Carbon _1,Soil Health,Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture,"Integrate d C rop M anagem e n t Vol. 16 – 2012 ISSN 1020 Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture: A literature review Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture: A literature review Soil organic matter plays a crucial role in maintaining soil health and its productivity potential. However, most of the world’s agricultural soils have become depleted in organic matter compared with their state under natural vegetation. This is because the dominant form of agriculture is based on tillage, which accelerates the decomposition of soil organic matter. Tillage-based production systems should therefore be transformed so that the future production intensiﬁcation can be achieved sustainably. Conservation Agriculture, a system avoiding or minimizing soil disturbance, combined with soil cover and crop",FAO,https://www.fao.org/fileadmin/user_upload/agp/icm16.pdf,pdf,22,926
Soil Organic Carbon _2,Soil Health,Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture,"sustainably. Conservation Agriculture, a system avoiding or minimizing soil disturbance, combined with soil cover and crop diversiﬁcation, is considered to be such sustainable production system. However, there appears to be certain degree of uncertainty about the role of Conservation Agriculture in carbon sequestration and in reducing green house gas emissions. This publication presents a meta analysis of global scientiﬁc literature with the aim to develop a clear understanding of the impacts and beneﬁts of traditional tillage agriculture and Conservation Agriculture with respect to their effects on soil carbon pools. The study attempts to reduce the existing uncertainty about the impact of soil management practices on soil carbon and is addressing scientists as well as policy makers to facilitate decision making regarding future farming models. Soil organic matter plays a crucial role in maintaining soil health",FAO,https://www.fao.org/fileadmin/user_upload/agp/icm16.pdf,pdf,22,925
Soil Organic Carbon _3,Soil Health,Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture,"making regarding future farming models. Soil organic matter plays a crucial role in maintaining soil health and its productivity potential. However, most of the world’s agricultural soils have become depleted in organic matter compared with their state under natural vegetation. This is because the dominant form of agriculture is based on tillage, which accelerates the decomposition of soil organic matter. Tillage-based production systems should therefore be transformed so that the future production intensiﬁcation can be achieved sustainably. Conservation Agriculture, a system avoiding or minimizing soil disturbance, combined with soil cover and crop diversiﬁcation, is considered to be such sustainable production system. However, there appears to be certain degree of uncertainty about the role of Conservation Agriculture in carbon sequestration and in reducing green house gas emissions. This publication presents a meta analysis of global scientiﬁc literature",FAO,https://www.fao.org/fileadmin/user_upload/agp/icm16.pdf,pdf,22,971
Soil Organic Carbon _4,Soil Health,Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture,sequestration and in reducing green house gas emissions. This publication presents a meta analysis of global scientiﬁc literature with the aim to develop a clear understanding of the impacts and beneﬁts of traditional tillage agriculture and Conservation Agriculture with respect to their effects on soil carbon pools. The study attempts to reduce the existing uncertainty about the impact of soil management practices on soil carbon and is addressing scientists as well as policy makers to facilitate decision making regarding future farming models. Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture: A literature review Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture: A literature review FAO 16,FAO,https://www.fao.org/fileadmin/user_upload/agp/icm16.pdf,pdf,22,803
Soil Organic Carbon _5,Soil Health,Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture,"Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture: Integrated Crop Management Vol.16-2012 PLANT PRODUCTION AND PROTECTION DIVISION FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS Rome, 2012 Sandra Corsi1, 3, Theodor Friedrich1, Amir Kassam1, 2, Michele Pisante3 and João de Moraes Sà4 1 Plant Production and Protection Division (AGP), FAO, Rome, Italy 2 School of Agriculture, Policy and Development, University of Reading, United Kingdom 3 Agronomy and Crop Sciences Research and Education Centre, University of Teramo, Italy 4 Universidade Estadual de Ponta Grossa-PR, Brazil A literature review",FAO,https://www.fao.org/fileadmin/user_upload/agp/icm16.pdf,pdf,22,657
Soil Organic Carbon _6,Soil Health,Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture,"The designations employed and the presentation of material in this information product do not imply the expression of any opinion whatsoever on the part of the Food and Agriculture Organization of the United Nations (FAO) concerning the legal or development status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries. The mention of specific companies or products of manufacturers, whether or not these have been patented, does not imply that these have been endorsed or recommended by FAO in preference to others of a similar nature that are not mentioned. The views expressed in this information product are those of the author(s) and do not necessarily reflect the views of FAO. ISBN 978-92-5-107187-8 All rights reserved. FAO encourages reproduction and dissemination of material in this information product. Non-commercial uses will be authorized free of charge, upon",FAO,https://www.fao.org/fileadmin/user_upload/agp/icm16.pdf,pdf,22,945
Soil Organic Carbon _7,Soil Health,Soil Organic Carbon Accumulation and Greenhouse Gas Emission Reductions from Conservation Agriculture,"information product. Non-commercial uses will be authorized free of charge, upon request. Reproduction for resale or other commercial purposes, including educational purposes, may incur fees. Applications for permission to reproduce or disseminate FAO copyright materials, and all other queries on rights and licences, should be addressed by e-mail to copyright@fao.org or to the Chief, Publishing Policy and Support Branch, Office of Knowledge Exchange, Research and Extension, FAO, Viale delle Terme di Caracalla, 00153 Rome, Italy. © FAO 2012",FAO,https://www.fao.org/fileadmin/user_upload/agp/icm16.pdf,pdf,22,545
